Modelo,Media,Desvio-Padrao,Maior Valor,Menor Valor
Perceptron Simples,0.727900,0.093417,0.885714,0.246429
ADALINE,0.788429,0.030626,0.871429,0.692857
MLP,0.995307,0.004158,1.000000,0.975000
