Modelo,Media,Desvio-Padrao,Maior Valor,Menor Valor
Perceptron Simples,0.823806,0.201236,1.000000,0.000000
ADALINE,0.883781,0.047209,1.000000,0.735751
MLP,0.997144,0.003876,1.000000,0.974093
