Modelo,Media,Desvio-Padrao,Maior Valor,Menor Valor
Perceptron Simples,0.808789,0.097172,1.000000,0.000000
ADALINE,0.831513,0.023952,0.900000,0.766990
MLP,0.996310,0.004555,1.000000,0.971014
