Modelo,Media,Desvio-Padrao,Maior Valor,Menor Valor
Perceptron Simples,0.486199,0.271813,1.000000,0.000000
ADALINE,0.550445,0.059397,0.697674,0.362500
MLP,0.990760,0.011563,1.000000,0.924051
